,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Won
0,Riki,Tinker,Puck,Leshrac,Nyx Assassin,1
1,Riki,Centaur Warrunner,Treant Protector,Queen of Pain,Broodmother,1
2,Razor,Kunkka,Drow Ranger,Leshrac,Zeus,1
3,Morphling,Omniknight,Pudge,Crystal Maiden,Razor,1
4,Brewmaster,Leshrac,Ogre Magi,Kunkka,Riki,1
5,Slardar,Earthshaker,Invoker,Slark,Doom,1
6,Wisp,Sven,Pudge,Broodmother,Lion,1
7,Omniknight,Luna,Rubick,Batrider,Phantom Lancer,1
8,Slark,Kunkka,Spectre,Rubick,Bane,1
9,Ogre Magi,Ursa,Clockwerk,Dazzle,Tidehunter,1
10,Chaos Knight,Venomancer,Leshrac,Templar Assassin,Pudge,1
11,Drow Ranger,Tidehunter,Queen of Pain,Gyrocopter,Venomancer,1
12,Phantom Lancer,Chaos Knight,Warlock,Venomancer,Batrider,1
13,Enigma,Clockwerk,Juggernaut,Pudge,Sniper,1
14,Ursa,Venomancer,Leshrac,Invoker,Luna,1
15,Batrider,Troll Warlord,Crystal Maiden,Treant Protector,Juggernaut,1
16,Lina,Mirana,Luna,Pudge,Enigma,1
17,Magnus,Earthshaker,Brewmaster,Clinkz,Invoker,1
18,Chaos Knight,Wisp,Invoker,Lina,Ancient Apparition,1
19,Enigma,Batrider,Disruptor,Beastmaster,Lifestealer,1
20,Ancient Apparition,Spectre,Troll Warlord,Pudge,Lone Druid,1
21,Lifestealer,Outworld Devourer,Nyx Assassin,Undying,Shadow Shaman,1
22,Dark Seer,Pudge,Gyrocopter,Rubick,Mirana,1
23,Queen of Pain,Nyx Assassin,Phantom Assassin,Tiny,Crystal Maiden,1
24,Earthshaker,Storm Spirit,Templar Assassin,Jakiro,Bounty Hunter,1
25,Kunkka,Nature's Prophet,Death Prophet,Earthshaker,Riki,1
26,Windrunner,Sand King,Viper,Gyrocopter,Keeper of the Light,1
27,Doom,Slark,Clinkz,Lina,Necrolyte,1
28,Alchemist,Earthshaker,Huskar,Ogre Magi,Luna,1
29,Doom,Lycanthrope,Clockwerk,Nyx Assassin,Keeper of the Light,1
30,Enchantress,Enigma,Medusa,Batrider,Drow Ranger,1
31,Brewmaster,Enigma,Pudge,Windrunner,Drow Ranger,1
32,Juggernaut,Pugna,Lion,Huskar,Axe,1
33,Morphling,Keeper of the Light,Crystal Maiden,Troll Warlord,Zeus,1
